brand,model,generation,production_start,production_end,body_type,provider
"Custom Metal Projects","150","","","","","nhtsa-vpic"
"Custom Metal Projects","250","","","","","nhtsa-vpic"
"Custom Metal Projects","500","","","","","nhtsa-vpic"
"Custom Metal Projects","Custom build","","","","","nhtsa-vpic"
"Custom Mfg.","Custom Mfg.","","","","","nhtsa-vpic"
"Custom Mobile Designs","Custom Mobile Designs","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","100","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","300","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","510","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","525","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","550","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","650","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","800","","","","","nhtsa-vpic"
"Custom Mobile Food Equipment","Other","","","","","nhtsa-vpic"
"Custom Motorcycle Works","Custom Motorcycle Works","","","","","nhtsa-vpic"
"Custom Pits and Fabrication","Custom Pits and Fabrication","","","","","nhtsa-vpic"
"Custom Pull Trailer","Custom Pull Trailer","","","","","nhtsa-vpic"
"Custom Services","Custom Services","","","","","nhtsa-vpic"
"Custom Trailer Company","Custom Trailer Company","","","","","nhtsa-vpic"
"Custom Trailers","Custom Trailers","","","","","nhtsa-vpic"
"Custom Trailers Inc","Custom Trailers","","","","","nhtsa-vpic"
"Custom Trailers of Texas","Custom Trailers of Texas","","","","","nhtsa-vpic"
"Custom Trailers, Inc.","Custom Trailers, Inc.","","","","","nhtsa-vpic"
"Custom Welding and Trailers","Custom Welding and Trailers","","","","","nhtsa-vpic"
"Custom Welding, Inc.","Custom Welding, Inc.","","","","","nhtsa-vpic"
"Custom-Fab","Custom-Fab","","","","","nhtsa-vpic"
"CustomPro Trailers","CustomPro Trailers","","","","","nhtsa-vpic"
"Customized Utility Trailers","Customized Utility Trailers","","","","","nhtsa-vpic"
"Cutlass","Cutlass","","","","","nhtsa-vpic"
"Cutting Edge","Cutting Edge","","","","","nhtsa-vpic"
"Cutting Edge Trailers","Cutting Edge Trailers","","","","","nhtsa-vpic"
"Cy-Corp Enterprises, Inc.","Cy-Corp Enterprises, Inc.","","","","","nhtsa-vpic"
"Cycle Hauler","1469466 Ontario Limited Cycle Hauler","","","","","nhtsa-vpic"
"Cycle Products","Standard","","","","","nhtsa-vpic"
"CycleStream","CycleStream","","","","","nhtsa-vpic"
"Cyclone","2214","","","","","nhtsa-vpic"
"Cyclone","2614","","","","","nhtsa-vpic"
"Cyclone","2816","","","","","nhtsa-vpic"
"Cyclone","C3511","","","","","nhtsa-vpic"
"Cyclone","C3913","","","","","nhtsa-vpic"
"Cyclone","C3914","","","","","nhtsa-vpic"
"Cyclone","HP8010","","","","","nhtsa-vpic"
"Cyclone","HP8520","","","","","nhtsa-vpic"
"Cyclone","LP4506","","","","","nhtsa-vpic"
"Cyclone","UHP4006","","","","","nhtsa-vpic"
"Cyclone","UHP4008","","","","","nhtsa-vpic"
"Cyclone, Fuel, Gravity, Road Warrior, Torque, & Torque TT, Lithium","Cyclone, Fuel, Gravity, Road Warrior, Torque, & Torque TT, Lithium","","","","","nhtsa-vpic"
"Cyclops Trike Components","Custom","","","","","nhtsa-vpic"
"Cyclops Trike Components","Standard","","","","","nhtsa-vpic"
"Cyclops Trike Components","Stretch","","","","","nhtsa-vpic"
"Cynergy Cargo","Cynergy Cargo","","","","","nhtsa-vpic"
"Cytec Trailers","Cytec Trailers","","","","","nhtsa-vpic"
"Czinger","21C","","","","","nhtsa-vpic"
"D & D Industries","D & D Industries","","","","","nhtsa-vpic"
"D & D Repair and Fabrication","D & D Repair and Fabrication","","","","","nhtsa-vpic"
"D & D SALES","D & D SALES TRAILER","","","","","nhtsa-vpic"
"D & D Speed","D & D Speed","","","","","nhtsa-vpic"
"D & D Trailers & Equipment","D & D Trailers & Equipment","","","","","nhtsa-vpic"
"D & D Trailers Inc.","D & D Trailers Inc.","","","","","nhtsa-vpic"
"D & G Welding","D & G Welding","","","","","nhtsa-vpic"
"D & H Enterprises","D & H Enterprises","","","","","nhtsa-vpic"
"D & H Truck Equipment Inc","D & H Truck Equipment Inc","","","","","nhtsa-vpic"
"D & J Fabricating LLC","D & J Fabricating LLC","","","","","nhtsa-vpic"
"D & K Trailers","D & K Trailers","","","","","nhtsa-vpic"
"D & M Marketing Inc.","D & M Marketing Inc.","","","","","nhtsa-vpic"
"D & M Trailers","D & M Trailers","","","","","nhtsa-vpic"
"D & N Trailers","D & N Trailers","","","","","nhtsa-vpic"
"D & P Welding","D & P Welding","","","","","nhtsa-vpic"
"D & S Trailer Builders","D & S Trailer Builders","","","","","nhtsa-vpic"
"D & S Trailer Sales","D & S Trailer Sales","","","","","nhtsa-vpic"
"D & S Trailers and Manufacturing Inc.","D & S Trailers and Manufacturing Inc.","","","","","nhtsa-vpic"
"D Hart Designs Inc","Canoe Trailer","","","","","nhtsa-vpic"
"D Hart Designs Inc","Kayak Trailer","","","","","nhtsa-vpic"
"D Master","D Master","","","","","nhtsa-vpic"
"D SQUARED","D SQUARED","","","","","nhtsa-vpic"
"D T Supply","D T Supply","","","","","nhtsa-vpic"
"D and A Custom","D and A Custom","","","","","nhtsa-vpic"
"D&A WELDING AND FABRICATION","D&A WELDING AND FABRICATION","","","","","nhtsa-vpic"
"D&B Cycle Parts & Accessories","D&B Cycle Parts & Accessories","","","","","nhtsa-vpic"
"D&B Fabricators","D&B Fabricators","","","","","nhtsa-vpic"
"D&D","D&D","","","","","nhtsa-vpic"
"D&D Machine and Welding","D&D Machine and Welding","","","","","nhtsa-vpic"
"D&D Trailers","D&D Trailers","","","","","nhtsa-vpic"
"D&L TRAILERS","D&L TRAILERS","","","","","nhtsa-vpic"
"D&R METAL FAB. INC.","D&R METAL FAB. INC.","","","","","nhtsa-vpic"
"D&S EQUIPMENT","D&S EQUIPMENT","","","","","nhtsa-vpic"
"D's Fiberglass","D's Fiberglass","","","","","nhtsa-vpic"
"D-Lux Trailer Sales Inc","D-Lux Trailer Sales Inc","","","","","nhtsa-vpic"
"D.G.C. Trailer Sales","D.G.C. Trailer Sales","","","","","nhtsa-vpic"
"D.J. TRAILERS AND WELDING","D.J. TRAILERS AND WELDING","","","","","nhtsa-vpic"
"D.K. HOSTETLER","D.K. HOSTETLER","","","","","nhtsa-vpic"
"D.R.M. TRAILERS","D.R.M. Trailers","","","","","nhtsa-vpic"
"D.R.T","D.R.T","","","","","nhtsa-vpic"
"DA","DA","","","","","nhtsa-vpic"
"DA'TINY Homes","DA'TINY Homes","","","","","nhtsa-vpic"
"DAB Motors","DAB Motors","","","","","nhtsa-vpic"
"DABCO FABRICATION","DABCO FABRICATION","","","","","nhtsa-vpic"
"DAC","DAC","","","","","nhtsa-vpic"
"DACHI GOLF CART","DACHI GOLF CART","","","","","nhtsa-vpic"
"DAECHANG MOTORS COMPANY LIMITED","DAECHANG MOTORS COMPANY LIMITED","","","","","nhtsa-vpic"
"DAELIM MOTOR CO., LTD","DAELIM MOTOR CO., LTD","","","","","nhtsa-vpic"
"DAIX","1st Generation","","","","","nhtsa-vpic"
"DAIX","2nd Generation","","","","","nhtsa-vpic"
"DAIX","3rd Generation","","","","","nhtsa-vpic"
"DAIX","PAH110-2;PAH110-2R;PAH110-8S;PAH125-11;PAH125-12;PAH125-8E;PAH125-8S","","","","","nhtsa-vpic"
"DAIX","PAZ125-1;PAZ125-2;PAZ125-3;PAZ200-1;PAZ200-2","","","","","nhtsa-vpic"
"DAIX","PBZ110-1;PBZ110-11S;PBZ110-1P;PBZ110-5;PBZ125-2;PBZ125-2S;PBZ125- 3;PMZ125-1;PMZ125-1S;PMZ125-2;PMZ125-3;PMZ125-4","","","","","nhtsa-vpic"
"DAIX","PMZ50-16;PMZ50-17;PMZ50-4J;PMZ50-M1;PMZ50-M3;PMZ150-10;PMZ150- 11;PMZ150-15;PMZ150-17;PMZ150-3C","","","","","nhtsa-vpic"
"DAIX","PMZ50-19;PMZ50-21;PMZ50-22;PMZ150-19;PMZ150-21;PMZ150-22 W=PAZ125-1;PAZ125-2;PAZ125-3;PAZ200-1;PAZ200-2","","","","","nhtsa-vpic"
"DAIX","PST300-20;PST300-21;PST300C;PST300T;PMZ300T","","","","","nhtsa-vpic"
"DAIX","PST50-1;PST50-16;PST50-17;PST50-19N;PST50-1Z;PST50-2;PST150-10;PST150- 17;PST150-19N;PST150-2;PST150-8;PST150-9Z","","","","","nhtsa-vpic"
"DAKOTA CABINS OF TEXAS","DAKOTA CABINS OF TEXAS","","","","","nhtsa-vpic"
"DAKOTA METAL SOLUTIONS","DAKOTA METAL SOLUTIONS","","","","","nhtsa-vpic"
"DAMON MOTORS","HyperSport","","","","","nhtsa-vpic"
"DAN'S REPAIR & MFG.","DAN'S REPAIR & MFG.","","","","","nhtsa-vpic"
"DANCO","Commercial Trailer (Agricultural)","","","","","nhtsa-vpic"
"DANCO","Commercial Trailer (Garbage)","","","","","nhtsa-vpic"
"DANDEA ENTERPRISES, INC.","DANDEA ENTERPRISES, INC.","","","","","nhtsa-vpic"
"DANIEL J. ESSENPREIS MFG.","DANIEL J. ESSENPREIS MFG.","","","","","nhtsa-vpic"
"DAPCO, INC.","DAPCO, INC.","","","","","nhtsa-vpic"
"DARDON, INC","DARDON, INC","","","","","nhtsa-vpic"
"DARK HORSE EXPERIENTIAL","DARK HORSE EXPERIENTIAL","","","","","nhtsa-vpic"
"DARKSIDE CHOPPERS","DARKSIDE CHOPPERS","","","","","nhtsa-vpic"
"DARTRON INDUSTRIES INC.","DARTRON INDUSTRIES INC.","","","","","nhtsa-vpic"
"DASH","DASH","","","","","nhtsa-vpic"
"DAVCO","DAVCO","","","","","nhtsa-vpic"
"DAVE'S WELDING SERVICE","DAVE'S WELDING SERVICE","","","","","nhtsa-vpic"
"DAVES AUTO SALES","Car Hauler","","","","","nhtsa-vpic"
"DAVES AUTO SALES","Gooseneck","","","","","nhtsa-vpic"
"DAVES AUTO SALES","Light Duty","","","","","nhtsa-vpic"
"DAVES AUTO SALES","Single Axle","","","","","nhtsa-vpic"
"DAVID BREWER IMPLEMENT INC.","DAVID BREWER IMPLEMENT INC.","","","","","nhtsa-vpic"
"DAVIS MANUFACTURING LLC","DAVIS MANUFACTURING LLC","","","","","nhtsa-vpic"
"DAYI MOTOR","Dayi Motor","","","","","nhtsa-vpic"
"DB Industries,Inc","DB Industries,Inc Trailer","","","","","nhtsa-vpic"
"DB Trailers","DB Trailers","","","","","nhtsa-vpic"
"DBAT TRAILER SALES & SERVICE","DBAT TRAILER SALES & SERVICE","","","","","nhtsa-vpic"
"DBR Systems LLC","DBR Systems LLC","","","","","nhtsa-vpic"
"DBT Designs, LLC.","DBT Designs, LLC.","","","","","nhtsa-vpic"
"DC WELD INC. DBA DCW CUSTOMS TRAILERS","DC WELD INC. DBA DCW CUSTOMS TRAILERS","","","","","nhtsa-vpic"
"DD Custom Cycle LLC","DD Custom Cycle LLC","","","","","nhtsa-vpic"
"DDI","DDI","","","","","nhtsa-vpic"
"DDI","Dandy Dump, Inc. Trailer","","","","","nhtsa-vpic"
"DEADEYE WELDING AND FABRICATION","DEADEYE WELDING AND FABRICATION","","","","","nhtsa-vpic"
"DECATUR","DECATUR","","","","","nhtsa-vpic"
"DECATUR ELECTRONICS, LLC","DECATUR ELECTRONICS, LLC","","","","","nhtsa-vpic"
"DECK","DECK","","","","","nhtsa-vpic"
"DECK OVER DOLLY","DECK OVER DOLLY","","","","","nhtsa-vpic"
"DEEP SOUTH CARGO TRAILERS LLC","DEEP SOUTH CARGO TRAILERS LLC","","","","","nhtsa-vpic"
"DEERSKIN","DEERSKIN","","","","","nhtsa-vpic"
"DEFASA TRAILERZ","DEFASA TRAILERZ","","","","","nhtsa-vpic"
"DELOUPE INC","DELOUPE INC","","","","","nhtsa-vpic"
"DELUXE WELDING INC.","DELUXE WELDING INC.","","","","","nhtsa-vpic"
"DEMI","DEMI","","","","","nhtsa-vpic"
"DENAGO","DAYTONA250 FI","","","","","nhtsa-vpic"
"DENAGO","EHAWK6","","","","","nhtsa-vpic"
"DENAGO","FREELANDER 300FI","","","","","nhtsa-vpic"
"DENAGO","MUDHAWK10 FI","","","","","nhtsa-vpic"
"DENAGO","MUDHAWK200 FI","","","","","nhtsa-vpic"
"DENAGO","MUDHAWK6","","","","","nhtsa-vpic"
"DENAGO","MUDHAWK6 FI","","","","","nhtsa-vpic"
"DENAGO","MX","","","","","nhtsa-vpic"
"DENAGO","MX1","","","","","nhtsa-vpic"
"DENAGO","MX2","","","","","nhtsa-vpic"
"DENAGO","MX3","","","","","nhtsa-vpic"
"DENAGO","MX4","","","","","nhtsa-vpic"
"DENAGO","TRAILHAWK10 FI","","","","","nhtsa-vpic"
"DENAGO EV","City","","","","","nhtsa-vpic"
"DENAGO EV","Nomad","","","","","nhtsa-vpic"
"DENAGO EV","Nomad XL","","","","","nhtsa-vpic"
"DENAGO EV","Oxen","","","","","nhtsa-vpic"
"DENAGO EV","Rover","","","","","nhtsa-vpic"
"DENAGO EV","Rover XL","","","","","nhtsa-vpic"
"DENAGO EV","Rover XL 6","","","","","nhtsa-vpic"
"DENAGO EV","Rover XXL","","","","","nhtsa-vpic"
"DENAGO EV","Scout 2","","","","","nhtsa-vpic"
"DENAGO EV","Scout 4","","","","","nhtsa-vpic"
"DENTON TRAILER CO.","DENTON TRAILER CO.","","","","","nhtsa-vpic"
"DENZEL","E100","","","","","nhtsa-vpic"
"DENZEL","E200","","","","","nhtsa-vpic"
"DENZEL","E300","","","","","nhtsa-vpic"
"DENZEL","E400","","","","","nhtsa-vpic"
"DENZEL","E500","","","","","nhtsa-vpic"
"DENZEL","E600","","","","","nhtsa-vpic"
"DENZEL","E700","","","","","nhtsa-vpic"
"DENZEL","E800","","","","","nhtsa-vpic"
"DENZEL","E900","","","","","nhtsa-vpic"
"DENZEL","H100","","","","","nhtsa-vpic"
"DENZEL","H200","","","","","nhtsa-vpic"
"DENZEL","H300","","","","","nhtsa-vpic"
"DENZEL","H400","","","","","nhtsa-vpic"
"DENZEL","H500","","","","","nhtsa-vpic"
"DENZEL","H600","","","","","nhtsa-vpic"
"DESIGN CONCEPTS","DESIGN CONCEPTS","","","","","nhtsa-vpic"
"DESIGN SOLUTION CONCESSION INC.","DESIGN SOLUTION CONCESSION INC.","","","","","nhtsa-vpic"
"DESSCO","DESSCO","","","","","nhtsa-vpic"
"DETROIT TOOL INC.","DETROIT TOOL INC.","","","","","nhtsa-vpic"
"DEWALT UTILITY TRAILERS","DEWALT UTILITY TRAILERS","","","","","nhtsa-vpic"
"DFP","DFP","","","","","nhtsa-vpic"
"DG Fabrication","DG Fabrication","","","","","nhtsa-vpic"
"DG Marshall","DG Marshall","","","","","nhtsa-vpic"
"DGC Trailer Manufacturing","DGC Trailer Manufacturing","","","","","nhtsa-vpic"
"DH Farm Equipment/DH Trailers","DH Farm Equipment/DH Trailers","","","","","nhtsa-vpic"
"DHM Trailers","DHM Trailers","","","","","nhtsa-vpic"
"DHS Systems","DHS Systems","","","","","nhtsa-vpic"
"DI BLASI OF AMERICA Inc.","Collapsible","","","","","nhtsa-vpic"
"DIAMOND B TRAILERWORKS","DIAMOND B TRAILERWORKS","","","","","nhtsa-vpic"
"DIAMOND COMPONENTS, INC.","DIAMOND","","","","","nhtsa-vpic"
"DIAMOND H SALES","DIAMOND H SALES","","","","","nhtsa-vpic"
"DIAMOND HAWG MFG","DIAMOND HAWG MFG","","","","","nhtsa-vpic"
"DIAMOND Z TRAILER INC","DIAMOND Z TRAILER INC","","","","","nhtsa-vpic"
"DICKSON","DICKSON","","","","","nhtsa-vpic"
"DICNOSA EQUIPMENT","DICNOSA EQUIPMENT","","","","","nhtsa-vpic"
"DIEDRICH DRILL, INC.","DIEDRICH DRILL, INC.","","","","","nhtsa-vpic"
"DIME","Wastow","","","","","nhtsa-vpic"
"DIMEN","B35","","","","","nhtsa-vpic"
"DIMEN","B57","","","","","nhtsa-vpic"
"DIMEN","B70","","","","","nhtsa-vpic"
"DIMEN","C55","","","","","nhtsa-vpic"
"DIMEN","CN","","","","","nhtsa-vpic"
"DIMEN","D35","","","","","nhtsa-vpic"
"DIMEN","D60","","","","","nhtsa-vpic"
"DIMEN","DJ","","","","","nhtsa-vpic"
"DIMEN","DJL","","","","","nhtsa-vpic"
"DIMEN","DM21","","","","","nhtsa-vpic"
"DIMEN","DM23","","","","","nhtsa-vpic"
"DIMEN","DM99","","","","","nhtsa-vpic"
"DIMEN","DM998","","","","","nhtsa-vpic"
"DIMEN","DME1","","","","","nhtsa-vpic"
"DIMEN","DME3","","","","","nhtsa-vpic"
"DIMEN","DMPRO","","","","","nhtsa-vpic"
"DIMEN","DMR3","","","","","nhtsa-vpic"
"DIMEN","DP01","","","","","nhtsa-vpic"
"DIMEN","DP03","","","","","nhtsa-vpic"
"DIMEN","DP11","","","","","nhtsa-vpic"
"DIMEN","DP13","","","","","nhtsa-vpic"
"DIMEN","DPPRO","","","","","nhtsa-vpic"
"DIMEN","DT01","","","","","nhtsa-vpic"
"DIMEN","DT03","","","","","nhtsa-vpic"
"DIMEN","DTPRO","","","","","nhtsa-vpic"
"DIMEN","DY","","","","","nhtsa-vpic"
"DIMEN","H1","","","","","nhtsa-vpic"
"DIMEN","H8","","","","","nhtsa-vpic"
"DIMEN","LG","","","","","nhtsa-vpic"
"DIMEN","RZ","","","","","nhtsa-vpic"
"DIMEN","XJL","","","","","nhtsa-vpic"
"DIMEN","XYZ","","","","","nhtsa-vpic"
"DIMEN","Z6","","","","","nhtsa-vpic"
"DINGYITOP","Bumblebee","","","","","nhtsa-vpic"
"DINGYITOP","CP","","","","","nhtsa-vpic"
"DINGYITOP","CP4P MAX2","","","","","nhtsa-vpic"
"DINGYITOP","HM","","","","","nhtsa-vpic"
"DINGYITOP","JSQ1","","","","","nhtsa-vpic"
"DINGYITOP","M3","","","","","nhtsa-vpic"
"DINGYITOP","MS","","","","","nhtsa-vpic"
"DINGYITOP","Swagger","","","","","nhtsa-vpic"
"DINGYITOP","TSL","","","","","nhtsa-vpic"
"DINGYITOP","V6","","","","","nhtsa-vpic"
"DINGYITOP","V8","","","","","nhtsa-vpic"
"DINGYITOP","Yale","","","","","nhtsa-vpic"
"DIRECT SALES","DIRECT SALES","","","","","nhtsa-vpic"
"DISCOUNT DUMPS","DISCOUNT DUMPS","","","","","nhtsa-vpic"
"DISCOUNT TRAILERS USA LLC","DISCOUNT TRAILERS USA LLC","","","","","nhtsa-vpic"
"DISCOVERY DESIGN","DISCOVERY DESIGN","","","","","nhtsa-vpic"
"DIVERSE FIBER COMMUNICATIONS","DIVERSE FIBER COMMUNICATIONS","","","","","nhtsa-vpic"
"DIVERSIFIED TRUCK & TRAILER, INC","DIVERSIFIED TRUCK & TRAILER, INC","","","","","nhtsa-vpic"
"DIW engineering & Fabrication","DIW engineering & Fabrication","","","","","nhtsa-vpic"
"DIY","DIY","","","","","nhtsa-vpic"
"DK","DK","","","","","nhtsa-vpic"
"DKOI INC","DKOI INC","","","","","nhtsa-vpic"
"DLC Power Diesel Corp.","DLC Power Diesel Corp.","","","","","nhtsa-vpic"
"DLM","DLM","","","","","nhtsa-vpic"
"DLW Payless Transmissions","Base","","","","","nhtsa-vpic"
"DLW Payless Transmissions","Tour","","","","","nhtsa-vpic"
"DM","DM","","","","","nhtsa-vpic"
"DM Machine","DM Machine","","","","","nhtsa-vpic"
"DMC Five Star Trailers","DMC Five Star Trailers","","","","","nhtsa-vpic"
"DMC Inc.","DMC Inc.","","","","","nhtsa-vpic"
"DMI (D.M.I) PIPE FABRICATION, LLC","20KW","","","","","nhtsa-vpic"
"DMI (D.M.I) PIPE FABRICATION, LLC","Equinox","","","","","nhtsa-vpic"
"DMP Awnings","DMP Awnings","","","","","nhtsa-vpic"
"DMP TRAILERS","DMP TRAILERS","","","","","nhtsa-vpic"
"DNA ENTERPRISES INC","PARK MODEL UNIT","","","","","nhtsa-vpic"
"DNA Specialty","DNA Specialty","","","","","nhtsa-vpic"
"DNJT","DNJT","","","","","nhtsa-vpic"
"DNM Teardrop Trailers","DNM Teardrop Trailers, LLC","","","","","nhtsa-vpic"
"DOBYS KUSTOM KARTS","Dobys Kustom Karts","","","","","nhtsa-vpic"
"DOFERN","F1","","","","","nhtsa-vpic"
"DOFERN","F2","","","","","nhtsa-vpic"
"DOFERN","F3","","","","","nhtsa-vpic"
"DOFERN","F4","","","","","nhtsa-vpic"
"DOFERN","F5","","","","","nhtsa-vpic"
"DOFERN","F6","","","","","nhtsa-vpic"
"DOFERN","F7","","","","","nhtsa-vpic"
"DOFERN","F8","","","","","nhtsa-vpic"
"DOFERN","F9","","","","","nhtsa-vpic"
"DOGEBOS","M1","","","","","nhtsa-vpic"
"DOGEBOS","M2","","","","","nhtsa-vpic"
"DOGEBOS","M3","","","","","nhtsa-vpic"
"DOGEBOS","M4","","","","","nhtsa-vpic"
"DOGEBOS","M5","","","","","nhtsa-vpic"
"DOGEBOS","M6","","","","","nhtsa-vpic"
"DOGEBOS","M7","","","","","nhtsa-vpic"
"DOGEBOS","M8","","","","","nhtsa-vpic"
"DOGEBOS","SC09","","","","","nhtsa-vpic"
"DOGEBOS","SC10","","","","","nhtsa-vpic"
"DOGEBOS","SC14","","","","","nhtsa-vpic"
"DOLEGA TRAILERS","DOLEGA TRAILERS","","","","","nhtsa-vpic"
"DONGFANG","CRS110","","","","","nhtsa-vpic"
"DONGFANG","CRS125","","","","","nhtsa-vpic"
"DONGFANG","CRS130","","","","","nhtsa-vpic"
"DONGFANG","DF110AVA","","","","","nhtsa-vpic"
"DONGFANG","DF110GKA","","","","","nhtsa-vpic"
"DONGFANG","DF110GKB","","","","","nhtsa-vpic"
"DONGFANG","DF125AVA","","","","","nhtsa-vpic"
"DONGFANG","DF125AVB","","","","","nhtsa-vpic"
"DONGFANG","DF125AVC","","","","","nhtsa-vpic"
"DONGFANG","DF125GKA","","","","","nhtsa-vpic"
"DONGFANG","DF125GKB","","","","","nhtsa-vpic"
"DONGFANG","DF125GKC","","","","","nhtsa-vpic"
"DONGFANG","DF125RTF","","","","","nhtsa-vpic"
"DONGFANG","DF125RTR","","","","","nhtsa-vpic"
"DONGFANG","DF125RTS","","","","","nhtsa-vpic"
"DONGFANG","DF125RTT","","","","","nhtsa-vpic"
"DONGFANG","DF125RTV","","","","","nhtsa-vpic"
"DONGFANG","DF125RTX","","","","","nhtsa-vpic"
"DONGFANG","DF125SRT","","","","","nhtsa-vpic"
"DONGFANG","DF125SST","","","","","nhtsa-vpic"
"DONGFANG","DF125STA","","","","","nhtsa-vpic"
"DONGFANG","DF125STF","","","","","nhtsa-vpic"
"DONGFANG","DF125STG","","","","","nhtsa-vpic"
"DONGFANG","DF125STT","","","","","nhtsa-vpic"
"DONGFANG","DF125SVT","","","","","nhtsa-vpic"
"DONGFANG","DF125TKA/DF125TKB/DF125TKC/DF125STD/DF125STE","","","","","nhtsa-vpic"
"DONGFANG","DF125TKS","","","","","nhtsa-vpic"
"DONGFANG","DF150GKA","","","","","nhtsa-vpic"
"DONGFANG","DF150GKB","","","","","nhtsa-vpic"
"DONGFANG","DF150GKD","","","","","nhtsa-vpic"
"DONGFANG","DF150GKF","","","","","nhtsa-vpic"
"DONGFANG","DF150GKG","","","","","nhtsa-vpic"
"DONGFANG","DF150GKV","","","","","nhtsa-vpic"
"DONGFANG","DF150STA","","","","","nhtsa-vpic"
"DONGFANG","DF150STB","","","","","nhtsa-vpic"
"DONGFANG","DF150STC","","","","","nhtsa-vpic"
"DONGFANG","DF150STE","","","","","nhtsa-vpic"
"DONGFANG","DF150STF","","","","","nhtsa-vpic"
"DONGFANG","DF150STG","","","","","nhtsa-vpic"
"DONGFANG","DF150STS","","","","","nhtsa-vpic"
"DONGFANG","DF150STT","","","","","nhtsa-vpic"
"DONGFANG","DF150STV","","","","","nhtsa-vpic"
"DONGFANG","DF150SVR","","","","","nhtsa-vpic"
"DONGFANG","DF150TKA","","","","","nhtsa-vpic"
"DONGFANG","DF150TKA/DF150TKB/DF150TKC/DF150STD/DF150STE","","","","","nhtsa-vpic"
"DONGFANG","DF150TKB","","","","","nhtsa-vpic"
"DONGFANG","DF150TKC","","","","","nhtsa-vpic"
"DONGFANG","DF200AVA","","","","","nhtsa-vpic"
"DONGFANG","DF200AVB","","","","","nhtsa-vpic"
"DONGFANG","DF200GKA","","","","","nhtsa-vpic"
"DONGFANG","DF200GKB","","","","","nhtsa-vpic"
"DONGFANG","DF200GKD","","","","","nhtsa-vpic"
"DONGFANG","DF200GKF","","","","","nhtsa-vpic"
"DONGFANG","DF200GKG","","","","","nhtsa-vpic"
"DONGFANG","DF200GKV","","","","","nhtsa-vpic"
"DONGFANG","DF200SRS","","","","","nhtsa-vpic"
"DONGFANG","DF200SRT","","","","","nhtsa-vpic"
"DONGFANG","DF200SRV","","","","","nhtsa-vpic"
"DONGFANG","DF200SRX","","","","","nhtsa-vpic"
"DONGFANG","DF200SST","","","","","nhtsa-vpic"
"DONGFANG","DF200STA","","","","","nhtsa-vpic"
"DONGFANG","DF200STB","","","","","nhtsa-vpic"
"DONGFANG","DF200STE","","","","","nhtsa-vpic"
"DONGFANG","DF200STF","","","","","nhtsa-vpic"
"DONGFANG","DF200STG","","","","","nhtsa-vpic"
"DONGFANG","DF200STR","","","","","nhtsa-vpic"
"DONGFANG","DF200STS","","","","","nhtsa-vpic"
"DONGFANG","DF200STT","","","","","nhtsa-vpic"
"DONGFANG","DF200STX","","","","","nhtsa-vpic"
"DONGFANG","DF200SVR","","","","","nhtsa-vpic"
"DONGFANG","DF200SVT","","","","","nhtsa-vpic"
"DONGFANG","DF200SVX","","","","","nhtsa-vpic"
"DONGFANG","DF200TKA","","","","","nhtsa-vpic"
"DONGFANG","DF200TKB","","","","","nhtsa-vpic"
"DONGFANG","DF200TKC","","","","","nhtsa-vpic"
"DONGFANG","DF200TKD","","","","","nhtsa-vpic"
"DONGFANG","DF250RTA","","","","","nhtsa-vpic"
"DONGFANG","DF250RTA/DF250RTB/ DF250RTC/DF250RTD/DF250HLE/DF250CHA/DF250CHB/DF250CHC/DF250CHD/DF250CHE/DF250TKA/DF250TKB/DF250STC/DF250STD/DF250STE/","","","","","nhtsa-vpic"
"DONGFANG","DF250RTB","","","","","nhtsa-vpic"
"DONGFANG","DF250RTC","","","","","nhtsa-vpic"
"DONGFANG","DF250RTD","","","","","nhtsa-vpic"
"DONGFANG","DF250RTE","","","","","nhtsa-vpic"
"DONGFANG","DF250RTF","","","","","nhtsa-vpic"
"DONGFANG","DF250RTG","","","","","nhtsa-vpic"
"DONGFANG","DF250RTR","","","","","nhtsa-vpic"
"DONGFANG","DF250RTS","","","","","nhtsa-vpic"
"DONGFANG","DF250RTT","","","","","nhtsa-vpic"
"DONGFANG","DF250STF","","","","","nhtsa-vpic"
"DONGFANG","DF250STG","","","","","nhtsa-vpic"
"DONGFANG","DF300RTA","","","","","nhtsa-vpic"
"DONGFANG","DF300RTB","","","","","nhtsa-vpic"
"DONGFANG","DF300RTC","","","","","nhtsa-vpic"
"DONGFANG","DF300RTD","","","","","nhtsa-vpic"
"DONGFANG","DF300RTE","","","","","nhtsa-vpic"
"DONGFANG","DF300RTF","","","","","nhtsa-vpic"
"DONGFANG","DF300RTR","","","","","nhtsa-vpic"
"DONGFANG","DF300RTS","","","","","nhtsa-vpic"
"DONGFANG","DF300RTT","","","","","nhtsa-vpic"
"DONGFANG","DF300SRT","","","","","nhtsa-vpic"
"DONGFANG","DF300SST","","","","","nhtsa-vpic"
"DONGFANG","DF300STE","","","","","nhtsa-vpic"
"DONGFANG","DF300STF","","","","","nhtsa-vpic"
